month,month_end,ruonia_1m_pct,short_rate_monthly_cc
2018-09,2018-09-30,7.075408182894262,0.06836314962743383
2018-10,2018-10-31,7.284022353096296,0.07030954625240096
2018-11,2018-11-30,7.257977745304029,0.07006675362523926
2018-12,2018-12-31,7.360034800878368,0.07101781138647932
2019-01,2019-01-31,7.411298783088488,0.07149519337529711
2019-02,2019-02-28,7.595268726836627,0.07320648983266251
2019-03,2019-03-31,7.562482958766848,0.07290172955266622
2019-04,2019-04-30,7.678431225916854,0.07397911094927284
2019-05,2019-05-31,7.703795657224109,0.07421464042439777
2019-06,2019-06-30,7.652945911567676,0.07374240309176537
2019-07,2019-07-31,7.390528788521265,0.07130180587141259
2019-08,2019-08-31,7.179703189435885,0.06933670880286091
2019-09,2019-09-30,6.998770145893011,0.06764715444414199
2019-10,2019-10-31,6.817435225205036,0.06595097838631235
2019-11,2019-11-30,6.596578486996873,0.0638812284836714
2019-12,2019-12-31,6.360666373118441,0.06166564562771067
2020-01,2020-01-31,6.132872575949439,0.059521637997594336
2020-02,2020-02-29,6.010340802266101,0.05836645810418118
2020-03,2020-03-31,5.877431134872183,0.05711192903333957
2020-04,2020-04-30,5.956425121553964,0.05785773984695901
2020-05,2020-05-31,5.704873951116264,0.055480816999244516
2020-06,2020-06-30,5.271888171791027,0.05137622858043005
2020-07,2020-07-31,4.466225729478649,0.04369363441582867
2020-08,2020-08-31,4.142559070269811,0.04059053481011317
2020-09,2020-09-30,4.145124668790683,0.040615169953919526
2020-10,2020-10-31,4.169005165541184,0.040844443857462234
2020-11,2020-11-30,4.175242191352572,0.04090431616871994
2020-12,2020-12-31,4.083942985881101,0.040027531682670627
2021-01,2021-01-31,4.239784730891915,0.04152368169677954
2021-02,2021-02-28,4.157707245253205,0.04073598037557541
2021-03,2021-03-31,4.0867585069466035,0.04005458180111173
2021-04,2021-04-30,4.3256069521516105,0.04234665837005236
2021-05,2021-05-31,4.600118796225361,0.04497450136125795
2021-06,2021-06-30,4.908294498406895,0.04791639681643844
2021-07,2021-07-31,5.363248165977552,0.052243700185633735
2021-08,2021-08-31,6.122215627455217,0.05942122157324964
2021-09,2021-09-30,6.464322822818585,0.06263974606852969
2021-10,2021-10-31,6.648497313646589,0.0643681689438969
2021-11,2021-11-30,7.117319825030971,0.06875449477777021
2021-12,2021-12-31,7.377082800573335,0.07117659157242207
2022-01,2022-01-31,8.003805713249738,0.0769962786009273
2022-02,2022-02-28,8.471633550123924,0.08131851087618079
2022-03,2022-03-31,15.65138592159021,0.14541018637535771
2022-04,2022-04-30,19.064626565981673,0.17449624009505524
2022-05,2022-05-31,15.619133956692874,0.145131275209997
2022-06,2022-06-30,11.675136394350586,0.11042390260014513
2022-07,2022-07-31,9.205691126027052,0.08806299250340295
2022-08,2022-08-31,8.409507603850159,0.08074560769388983
2022-09,2022-09-30,7.8831152992511715,0.0758781893159841
2022-10,2022-10-31,7.740876112677671,0.07455886296204585
2022-11,2022-11-30,7.597146046843954,0.07322393765961634
2022-12,2022-12-31,7.2992603019766875,0.07045156988739677
2023-01,2023-01-31,7.274008767465554,0.07021620473928475
2023-02,2023-02-28,7.040745434977938,0.06803937444622078
2023-03,2023-03-31,7.381779920886151,0.07122033477588331
2023-04,2023-04-30,7.24479411963985,0.06994383096492902
2023-05,2023-05-31,7.1861213623613605,0.06939658936396073
2023-06,2023-06-30,7.283024081007221,0.07030024126260245
2023-07,2023-07-31,7.453905730449585,0.07189178572272735
2023-08,2023-08-31,8.699874771377129,0.08342045608116065
2023-09,2023-09-30,11.626828883147143,0.10999123724588364
2023-10,2023-10-31,12.620714909339936,0.118855481796744
2023-11,2023-11-30,13.886598741291888,0.1300330194329701
2023-12,2023-12-31,15.064096587447139,0.1403191487368316
2024-01,2024-01-31,15.416821981138431,0.14337992852939568
2024-02,2024-02-29,15.883290252892985,0.14741338013175667
2024-03,2024-03-31,15.7747739443973,0.1464765138343633
2024-04,2024-04-30,15.760868173238213,0.14635639607583056
2024-05,2024-05-31,15.944385050537555,0.14794045093103866
2024-06,2024-06-30,15.964571084669172,0.14811453678368533
2024-07,2024-07-31,15.903655305579461,0.14758910230359695
2024-08,2024-08-31,16.87668385225065,0.15594920880895985
2024-09,2024-09-30,18.321553167703296,0.1682357591682503
2024-10,2024-10-31,18.60589614464118,0.1706360138814694
2024-11,2024-11-30,19.927851659297747,0.18172013980648966
2024-12,2024-12-31,21.10016686865704,0.19144784251102187
2025-01,2025-01-31,20.969980460171644,0.19037223345741988
2025-02,2025-02-28,20.894152058021692,0.18974520038852358
2025-03,2025-03-31,21.321553345068942,0.1932743004518467
2025-04,2025-04-30,21.532088911184303,0.19500814818748302
2025-05,2025-05-31,20.995043249671227,0.19057939389081596
2025-06,2025-06-30,20.743169356818214,0.1884955364709791
2025-07,2025-07-31,19.88359163192979,0.18135101623788036
2025-08,2025-08-31,18.581990832511604,0.1704344410902516
2025-09,2025-09-30,17.685869279307727,0.16284876397051992
2025-10,2025-10-31,16.92203022040473,0.15633711828829605
2025-11,2025-11-30,16.49570683086938,0.15268423510146767
2025-12,2025-12-31,16.321482549267476,0.15118757315320183
2026-01,2026-01-31,15.939547185429442,0.14789872432184964
2026-02,2026-02-28,15.683592658546212,0.14568862880859249
2026-03,2026-03-31,15.275645519630233,0.14215599191229308
2026-04,2026-04-30,15.07473082746505,0.14041156460724277
