Дата,Индекс,1 месяц,3 месяца,6 месяцев
11/15/21,2.28531292260860,7.14410548790253,6.78234572275348,6.17727147608612
11/14/21,2.28485863555528,7.12862443720162,6.77274899855529,6.16445698990595
11/13/21,2.28440434850196,7.10952760176956,6.76314891418737,6.15090688902272
11/12/21,2.28395006144864,7.07773013724268,6.75275941515036,6.13684540139013
11/11/21,2.28349211179773,7.05242267216111,6.74082287089104,6.11975993599969
11/10/21,2.28303613006107,7.02120445303268,6.72932875145705,6.10261163596050
11/9/21,2.28256710942214,6.98320964424134,6.71518262729600,6.08429144303768
11/8/21,2.28210443619399,6.94849583981231,6.69990989197798,6.06653561981784
11/7/21,2.28166157534370,6.92596492320095,6.68813520413403,6.05055072465310
11/6/21,2.28121871449341,6.90403864839884,6.67635663225622,6.03495134128382
11/5/21,2.28077585364312,6.88336578250486,6.66157961084340,6.02063322375370
11/4/21,2.28033299279284,6.86848789009266,6.64800341418887,6.00731615965920
11/3/21,2.27989013194255,6.85381157455422,6.63165007136896,5.99470925694012
11/2/21,2.27946171804157,6.84663565308087,6.62424712236343,5.98339417572691
11/1/21,2.27901777786621,6.83138917053006,6.62035235169565,5.97068398438080
10/31/21,2.27855912944239,6.81299509796199,6.61385246869716,5.95665148310619
10/30/21,2.27810048101856,6.79377647383414,6.60735017807090,5.94784816672651
10/29/21,2.27764183259474,6.77132295428750,6.60558243987867,5.93395119917912
10/28/21,2.27718452403142,6.75188592522803,6.59762764851849,5.91999890500435
10/27/21,2.27673042546985,6.73211406202739,6.58613760520650,5.90492242940276
10/26/21,2.27627517043576,6.70723687740241,6.57453741753272,5.89091584438771
10/25/21,2.27581501934418,6.67971891520183,6.55651005678662,5.87414815809283
10/24/21,2.27537881263748,6.66506448982884,6.54272085367232,5.85953699105900
10/23/21,2.27494260593078,6.64868980541030,6.52892730601461,5.84492230133285
10/22/21,2.27450639922408,6.63495108965196,6.51456708810903,5.83007616300527
10/21/21,2.27408148865551,6.62925458485698,6.50285834657986,5.81618696199184
10/20/21,2.27365416625604,6.62556863237429,6.49170224033845,5.80218626048504
10/19/21,2.27322754683972,6.62012511569660,6.47988371885817,5.78768049500583
10/18/21,2.27279789463498,6.61304727729102,6.46672043293646,5.77390053379533
10/17/21,2.27237532778518,6.60978106801519,6.45481020361466,5.76075707917202
10/16/21,2.27195276093537,6.60680764802462,6.44289624785588,5.74761041970635
10/15/21,2.27153019408557,6.60211651286024,6.42975385402285,5.73456992240119
10/14/21,2.27110832793589,6.59843063406699,6.41672232170319,5.72153025024610
10/13/21,2.27069338204936,6.59709031451006,6.40435377220061,5.70944680284661
10/12/21,2.27030276557353,6.61074657641956,6.39574013318677,5.69921851725695
10/11/21,2.26989604995252,6.61573176292917,6.38401658659212,5.68735508400840
10/10/21,2.26950259870986,6.62786846755153,6.37464556674495,5.67668767950844
10/9/21,2.26910914746720,6.63393688626311,6.36527173302438,5.66601768560563
10/8/21,2.26871569622454,6.63762290636919,6.35511305506461,5.65545445476830
10/7/21,2.26831858510786,6.63594744039058,6.34374005787711,5.64410520350336
