date,tenor_years,source_file,series_kind,tp
2020-06-30,10,inputs/tp_10y_book.png,tp,1.2564912651451117
2020-07-31,10,inputs/tp_10y_book.png,tp,1.2044563609467442
2020-08-31,10,inputs/tp_10y_book.png,tp,1.7721968336151088
2020-09-30,10,inputs/tp_10y_book.png,tp,1.8919471153846155
2020-10-31,10,inputs/tp_10y_book.png,tp,1.6828508030431146
2020-11-30,10,inputs/tp_10y_book.png,tp,1.2685082945900232
2020-12-31,10,inputs/tp_10y_book.png,tp,1.4204595484643574
2021-01-31,10,inputs/tp_10y_book.png,tp,1.5958381762468299
2021-02-28,10,inputs/tp_10y_book.png,tp,1.790350714990136
2021-03-31,10,inputs/tp_10y_book.png,tp,1.8919471153846155
2021-04-30,10,inputs/tp_10y_book.png,tp,1.8274751690617055
2021-05-31,10,inputs/tp_10y_book.png,tp,1.626592438010707
2021-06-30,10,inputs/tp_10y_book.png,tp,1.7654532967032937
2021-07-31,10,inputs/tp_10y_book.png,tp,1.998490331783605
2021-08-31,10,inputs/tp_10y_book.png,tp,2.2204203648915213
2021-09-30,10,inputs/tp_10y_book.png,tp,2.432106755424063
2021-10-31,10,inputs/tp_10y_book.png,tp,2.5353365384615385
2021-11-30,10,inputs/tp_10y_book.png,tp,2.4782848161453863
2021-12-31,10,inputs/tp_10y_book.png,tp,2.0140074668920787
2022-01-31,10,inputs/tp_10y_book.png,tp,1.8019943998309378
2022-02-28,10,inputs/tp_10y_book.png,tp,1.5342596506058066
2022-03-31,10,inputs/tp_10y_book.png,tp,1.2408807938855961
2022-04-30,10,inputs/tp_10y_book.png,tp,1.354400887573965
2022-05-31,10,inputs/tp_10y_book.png,tp,1.4401301422936041
2022-06-30,10,inputs/tp_10y_book.png,tp,1.6081118801070717
2022-07-31,10,inputs/tp_10y_book.png,tp,1.697201236263737
2022-08-31,10,inputs/tp_10y_book.png,tp,1.720815282473937
2022-09-30,10,inputs/tp_10y_book.png,tp,1.720955286700479
2022-10-31,10,inputs/tp_10y_book.png,tp,0.9100274725274756
2022-11-30,10,inputs/tp_10y_book.png,tp,1.3697546844181492
2022-12-31,10,inputs/tp_10y_book.png,tp,1.5213092596506081
2023-01-31,10,inputs/tp_10y_book.png,tp,2.3549410925612855
2023-02-28,10,inputs/tp_10y_book.png,tp,2.4629776873767244
2023-03-31,10,inputs/tp_10y_book.png,tp,2.7339558678501104
2023-04-30,10,inputs/tp_10y_book.png,tp,3.2734388207945977
2023-05-31,10,inputs/tp_10y_book.png,tp,3.560844163848973
2023-06-30,10,inputs/tp_10y_book.png,tp,3.777687376725837
2023-07-31,10,inputs/tp_10y_book.png,tp,3.8464761200338136
2023-08-31,10,inputs/tp_10y_book.png,tp,3.919184981684983
2023-09-30,10,inputs/tp_10y_book.png,tp,3.955889423076923
2023-10-31,10,inputs/tp_10y_book.png,tp,4.091343512256972
2023-11-30,10,inputs/tp_10y_book.png,tp,4.155022101296139
2023-12-31,10,inputs/tp_10y_book.png,tp,4.027991599746404
2024-01-31,10,inputs/tp_10y_book.png,tp,4.199426775147931
2024-02-29,10,inputs/tp_10y_book.png,tp,4.2998798076923075
2024-03-31,10,inputs/tp_10y_book.png,tp,4.033685104959125
2024-04-30,10,inputs/tp_10y_book.png,tp,3.1991665786136747
2024-05-31,10,inputs/tp_10y_book.png,tp,2.4780048076923076
2024-06-30,10,inputs/tp_10y_book.png,tp,2.432993448858834
2024-07-31,10,inputs/tp_10y_book.png,tp,2.294739275147932
2024-08-31,10,inputs/tp_10y_book.png,tp,2.001220414201172
2024-09-30,10,inputs/tp_10y_book.png,tp,1.4742445054945064
2024-10-31,10,inputs/tp_10y_book.png,tp,1.9125277366863895
2024-11-30,10,inputs/tp_10y_book.png,tp,2.4009558150183095
2024-12-31,10,inputs/tp_10y_book.png,tp,2.7497063433361544
2025-01-31,10,inputs/tp_10y_book.png,tp,2.9210481825866457
2025-02-28,10,inputs/tp_10y_book.png,tp,3.0385817307692307
2025-03-31,10,inputs/tp_10y_book.png,tp,3.023554610453652
2025-04-30,10,inputs/tp_10y_book.png,tp,2.6957113799661814
2025-05-31,10,inputs/tp_10y_book.png,tp,2.6911845766413074
2025-06-30,10,inputs/tp_10y_book.png,tp,2.686027754296985
2025-07-31,10,inputs/tp_10y_book.png,tp,1.6347593512257088
2025-08-31,10,inputs/tp_10y_book.png,tp,2.306872974781642
2025-09-30,10,inputs/tp_10y_book.png,tp,2.849342684559031
2025-10-31,10,inputs/tp_10y_book.png,tp,2.8474759615384615
